DATE,BAMLH0A0HYM2
2006-01-01,3.5457142857142857
2006-02-01,3.3350000000000000
2006-03-01,3.2517391304347826
2006-04-01,3.0605000000000000
2006-05-01,3.0186956521739130
2006-06-01,3.2809090909090909
2006-07-01,3.3704761904761905
2006-08-01,3.4182608695652174
2006-09-01,3.4286363636363636
2006-10-01,3.2522727272727273
2006-11-01,3.1400000000000000
2006-12-01,2.9966666666666667
2007-01-01,2.7622727272727273
2007-02-01,2.6205000000000000
2007-03-01,2.8600000000000000
2007-04-01,2.7370000000000000
2007-05-01,2.5713636363636364
2007-06-01,2.6127272727272727
2007-07-01,3.3486363636363636
2007-08-01,4.3100000000000000
2007-09-01,4.4242857142857143
2007-10-01,4.1608695652173913
2007-11-01,5.3109090909090909
2007-12-01,5.6945000000000000
2008-01-01,6.7968181818181818
2008-02-01,7.2452380952380952
2008-03-01,8.0830000000000000
2008-04-01,7.3931818181818182
2008-05-01,6.6856521739130435
2008-06-01,6.7309523809523810
2008-07-01,7.7486956521739130
2008-08-01,8.1990909090909091
2008-09-01,9.1900000000000000
2008-10-01,14.9426086956521739
2008-11-01,17.9590476190476190
2008-12-01,20.3095454545454545
2009-01-01,16.7336363636363636
2009-02-01,16.5361904761904762
2009-03-01,17.8377272727272727
2009-04-01,15.5966666666666667
2009-05-01,12.5059090909090909
2009-06-01,10.8059090909090909
2009-07-01,10.2700000000000000
2009-08-01,8.9714285714285714
2009-09-01,8.4522727272727273
2009-10-01,7.7630434782608696
2009-11-01,7.5619047619047619
2009-12-01,6.9363636363636364
2010-01-01,6.2257142857142857
2010-02-01,6.7309523809523810
2010-03-01,6.1217391304347826
2010-04-01,5.5938095238095238
2010-05-01,6.5009523809523810
2010-06-01,7.0168181818181818
2010-07-01,6.7786956521739130
2010-08-01,6.7559090909090909
2010-09-01,6.4213636363636364
2010-10-01,6.0081818181818182
2010-11-01,5.8727272727272727
2010-12-01,5.5513043478260870
2011-01-01,5.1242857142857143
2011-02-01,4.6575000000000000
2011-03-01,4.8365217391304348
2011-04-01,4.6623809523809524
2011-05-01,4.8468181818181818
2011-06-01,5.4900000000000000
2011-07-01,5.4345454545454545
2011-08-01,6.9904347826086957
2011-09-01,7.6754545454545455
2011-10-01,7.9085714285714286
2011-11-01,7.6063636363636364
2011-12-01,7.5168181818181818
2012-01-01,6.8352380952380952
2012-02-01,6.2442857142857143
2012-03-01,5.9630434782608696
2012-04-01,6.1335000000000000
2012-05-01,6.3134782608695652
2012-06-01,6.7713636363636364
2012-07-01,6.3550000000000000
2012-08-01,5.9230434782608696
2012-09-01,5.6114285714285714
2012-10-01,5.4877272727272727
2012-11-01,5.7090909090909091
2012-12-01,5.3365000000000000
2013-01-01,4.9181818181818182
2013-02-01,4.9930000000000000
2013-03-01,4.8042857142857143
2013-04-01,4.7640909090909091
2013-05-01,4.3782608695652174
2013-06-01,5.0580952380952381
2013-07-01,4.8169565217391304
2013-08-01,4.7509523809523810
2013-09-01,4.6428571428571429
2013-10-01,4.5543478260869565
2013-11-01,4.3213636363636364
2013-12-01,4.0871428571428571
2014-01-01,3.9677272727272727
2014-02-01,4.0305000000000000
2014-03-01,3.8076190476190476
2014-04-01,3.7052380952380952
2014-05-01,3.7500000000000000
2014-06-01,3.4719047619047619
2014-07-01,3.6530434782608696
2014-08-01,3.9718181818181818
2014-09-01,4.0600000000000000
2014-10-01,4.5143478260869565
2014-11-01,4.4576190476190476
2014-12-01,5.0759090909090909
2015-01-01,5.2942857142857143
2015-02-01,4.7114285714285714
2015-03-01,4.6645454545454545
2015-04-01,4.6266666666666667
2015-05-01,4.5095238095238095
2015-06-01,4.6600000000000000
2015-07-01,5.1060869565217391
2015-08-01,5.6580952380952381
2015-09-01,5.8681818181818182
2015-10-01,6.1973913043478261
2015-11-01,6.1361904761904762
2015-12-01,6.8709090909090909
2016-01-01,7.6252380952380952
2016-02-01,8.2257142857142857
2016-03-01,6.9831818181818182
2016-04-01,6.6195454545454545
2016-05-01,6.2609090909090909
2016-06-01,6.1040909090909091
2016-07-01,5.6490909090909091
2016-08-01,5.3000000000000000
2016-09-01,5.1454545454545455
2016-10-01,4.7366666666666667
2016-11-01,4.8890909090909091
2016-12-01,4.2827272727272727
2017-01-01,4.0114285714285714
2017-02-01,3.8530000000000000
2017-03-01,3.8982608695652174
2017-04-01,3.9110000000000000
2017-05-01,3.7434782608695652
2017-06-01,3.7509090909090909
2017-07-01,3.6919047619047619
2017-08-01,3.8339130434782609
2017-09-01,3.7190909090909091
2017-10-01,3.4922727272727273
2017-11-01,3.6818181818181818
2017-12-01,3.6019047619047619
2018-01-01,3.3495454545454545
2018-02-01,3.5420000000000000
2018-03-01,3.6386363636363636
2018-04-01,3.4733333333333333
2018-05-01,3.4686956521739130
2018-06-01,3.4518181818181818
2018-07-01,3.5900000000000000
2018-08-01,3.4526086956521739
2018-09-01,3.3414285714285714
2018-10-01,3.5191304347826087
2018-11-01,4.0172727272727273
2018-12-01,4.7635000000000000
2019-01-01,4.5722727272727273
2019-02-01,4.1280000000000000
2019-03-01,4.0104545454545455
2019-04-01,3.7833333333333333
2019-05-01,4.0639130434782609
2019-06-01,4.2142857142857143
2019-07-01,3.9973913043478261
2019-08-01,4.2939130434782609
2019-09-01,3.9438095238095238
2019-10-01,4.0982608695652174
2019-11-01,4.0500000000000000
2019-12-01,3.7219047619047619
2020-01-01,3.6013636363636364
2020-02-01,3.9219047619047619
2020-03-01,7.8540909090909091
2020-04-01,8.1380952380952381
2020-05-01,7.2872727272727273
