expinf,highyield,m2,rgdp,house,10tminust2,unemp,nq100,,expinf,highyield,m2,rgdp,house,10tminust2,unemp,nq100
2.39,4.84682,9027.2,15816.66845,309.34,2.61333,9,2372.54,,,,,,,,,
2.24682,5.49,9098.475,15844.18946,309.34,2.59182,9.1,2325.07,,,,,,,,,
2.3795,5.43455,9261.1,15871.75835,311.63,2.5965,9,2362.81,,,,,,,,,
2.16783,6.99043,9503.44,15899.37521,311.63,2.07261,9,2241.01,,,,,,,,,
1.89762,7.67545,9536.075,15927.04012,311.63,1.76381,9,2139.18,,,,,,,,,
1.966,7.90857,9570.4,15954.75317,313.03,1.8715,8.8,2360.08,,,,,,,,,
2.012,7.60636,9611.4,15982.51444,313.03,1.76,8.6,2295.2,,,,,,,,,
2.00952,7.51682,9637.55,16010.32401,313.03,1.72095,8.5,2277.83,,,,,,,,,
2.0745,6.83524,9727.72,16038.18198,309.7,1.726,8.3,2467.95,,,,,,,,,
2.222,6.24429,9770.325,16066.08841,309.7,1.6895,8.3,2623.1,,,,,,,,,
2.31409,5.96304,9810.95,16094.04341,309.7,1.82818,8.2,2755.27,,,,,,,,,
2.26667,6.1335,9868.86,16122.04704,308.37,1.76095,8.2,2723.68,,,,,,,,,
2.14455,6.31348,9902.025,16150.09941,308.37,1.51818,8.2,2524.87,,,,,,,,,
2.12286,6.77136,9961.725,16178.20058,308.37,1.33048,8.2,2615.72,,,,,,,,,
2.12857,6.355,10040.26,16206.35065,312.39,1.27857,8.2,2642.53,,,,,,,,,
2.26391,5.92304,10110.175,16234.5497,312.39,1.40957,8.1,2772.24,,,,,,,,,
2.43632,5.61143,10185,16262.79781,312.39,1.46789,7.8,2799.19,,,,,,,,,
2.49476,5.48773,10254.38,16291.09508,314.82,1.46905,7.8,2647.92,,,,,,,,,
2.4265,5.70909,10315.15,16319.44159,314.82,1.386,7.7,2677.88,,,,,,,,,
2.4765,5.3365,10436.04,16347.83742,314.82,1.462,7.9,2660.93,,,,,,,,,
2.52333,4.91818,10472.475,16376.28265,316.45,1.64952,8,2731.53,,,,,,,,,
2.55474,4.993,10463.575,16404.77739,316.45,1.71684,7.7,2738.58,,,,,,,,,
2.5425,4.80429,10523.4,16433.3217,316.45,1.7015,7.5,2818.69,,,,,,,,,
2.41136,4.76409,10578.32,16461.91568,321.38,1.52682,7.6,2887.44,,,,,,,,,
2.28318,4.37826,10606.525,16490.55941,321.38,1.67773,7.5,2981.76,,,,,,,,,
2.0485,5.0581,10653.325,16519.25298,321.38,1.9665,7.5,2909.6,,,,,,,,,
2.12227,4.81696,10717.28,16547.99648,326.29,2.24136,7.3,3090.19,,,,,,,,,
2.18455,4.75095,10773.25,16576.79,326.29,2.38091,7.2,3073.81,,,,,,,,,
2.1455,4.64286,10829.96,16605.63361,326.29,2.4055,7.2,3218.2,,,,,,,,,
2.18727,4.55435,10944.8,16634.52742,328.96,2.28045,7.2,3377.73,,,,,,,,,
2.17053,4.32136,10946.8,16663.47149,328.96,2.41474,6.9,3487.82,,,,,,,,,
2.16333,4.08714,11010.28,16692.46593,328.96,2.5619,6.7,3592,,,,,,,,,
2.22619,3.96773,11059.6,16721.51082,331.84,2.46429,6.6,3521.92,,,,,,,,,
2.15737,4.0305,11141.6,16750.60625,331.84,2.38263,6.7,3696.1,,,,,,,,,
2.16762,3.80762,11185.68,16779.75231,331.84,2.32429,6.7,3595.74,,,,,,,,,
2.16238,3.70524,11243.8,16808.94908,338.24,2.2881,6.2,3582.02,,,,,,,,,
2.19095,3.75,11303.775,16838.19665,338.24,2.17,6.3,3736.82,,,,,,,,,
2.22905,3.4719,11366.74,16867.49511,338.24,2.14619,6.1,3849.48,,,,,,,,,
2.26273,3.65304,11425.175,16896.84455,343.11,2.03591,6.2,3892.5,,,,,,,,,
2.19619,3.97182,11453.025,16926.24506,343.11,1.94762,6.1,4082.56,,,,,,,,,
2.07333,4.06,11488.7,16955.69673,343.11,1.96762,5.9,4049.45,,,,,,,,,
1.92,4.51435,11550.575,16985.19964,344.58537,1.85864,5.7,4158.21,,,,,,,,,
1.88,4.45762,11577.575,17014.75389,346.06709,1.79833,5.8,4337.78,,,,,,,,,
1.69682,5.07591,11660.1,17044.35956,347.55518,1.57182,5.6,4236.28,,,,,,,,,
1.607,5.29429,11713.1,17074.01675,349.04967,1.33,5.7,4148.43,,,,,,,,,
1.71526,4.71143,11840.75,17103.72553,350.55058,1.35632,5.5,4440.67,,,,,,,,,
1.76182,4.66455,11870.08,17133.48602,352.05795,1.40227,5.4,4333.69,,,,,,,,,
1.85818,4.62667,11916.4,17163.29828,353.5718,1.395,5.4,4414.25,,,,,,,,,
1.8655,4.50952,11939.05,17193.16242,355.09215,1.5885,5.6,4508.25,,,,,,,,,
1.86591,4.66,11990.68,17223.07852,356.61905,1.675,5.3,4396.76,,,,,,,,,
1.82091,5.10609,12046.65,17253.04668,358.15251,1.65682,5.2,4588.91,,,,,,,,,
1.61143,5.6581,12091.78,17283.06698,359.69257,1.46952,5.1,4274.58,,,,,,,,,
1.52286,5.86818,12153.25,17313.13952,361.23925,1.45952,5,4181.06,,,,,,,,,
1.49857,6.19739,12169.6,17343.26438,362.79258,1.42524,5,4648.83,,,,,,,,,
1.57053,6.13619,12271.78,17373.44166,364.35258,1.37842,5.1,4664.51,,,,,,,,,
1.515,6.87091,12328.575,17403.67145,365.9193,1.26,5,4593.27,,,,,,,,,
1.42,7.62524,12432.7,17433.95384,367.49275,1.18579,4.8,4279.17,,,,,,,,,
1.3075,8.22571,12531.48,17464.28892,369.07297,1.046,4.9,4201.12,,,,,,,,,
1.55182,6.98318,12593.1,17494.67678,370.65999,1.01409,5,4483.65,,,,,,,,,
1.61476,6.61955,12672.8,17525.11752,372.25382,1.03714,5.1,4341.3,,,,,,,,,
1.59429,6.26091,12753.3,17555.61122,373.85451,0.99,4.8,4523.89,,,,,,,,,
1.47,6.10409,12820.2,17586.15799,375.46209,0.91273,4.9,4417.7,,,,,,,,,
1.4655,5.64909,12868.25,17616.7579,377.07658,0.8315,4.8,4730.23,,,,,,,,,
1.46826,5.3,12960.62,17647.41106,378.69801,0.81913,4.9,4771.06,,,,,,,,,
1.51476,5.14545,13026.925,17678.11756,380.32641,0.85952,5,4875.7,,,,,,,,,
1.667,4.73667,13092.82,17708.87748,381.96181,0.9215,4.9,4801.27,,,,,,,,,
1.822,4.88909,13168.2,17739.69093,383.60425,1.1625,4.7,4810.81,,,,,,,,,
1.93571,4.28273,13195.525,17770.55799,385.25374,1.29524,4.7,4863.62,,,,,,,,,
2.0115,4.01143,13265.56,17801.47876,386.91034,1.226,4.7,5116.77,,,,,,,,,
2.01895,3.853,13339.05,17832.45333,388.57405,1.21789,4.6,5330.31,,,,,,,,,
1.99609,3.89826,13408.3,17863.4818,390.24492,1.1687,4.4,5436.23,,,,,,,,,
1.90632,3.911,13460.825,17894.56426,391.92297,1.05632,4.5,5583.53,,,,,,,,,
1.83682,3.74348,13527.18,17925.7008,393.60824,1.00182,4.4,5788.8,,,,,,,,,
1.72864,3.75091,13556.725,17956.89152,395.30076,0.84455,4.3,5646.92,,,,,,,,,
1.772,3.6919,13611.78,17988.13651,397.00055,0.9455,4.3,5880.33,,,,,,,,,
1.77565,3.83391,13671.8,18019.43587,398.70765,0.87391,4.4,5988.6,,,,,,,,,
1.834,3.71909,13708.05,18050.78969,400.42209,0.8175,4.2,5979.3,,,,,,,,,
1.8619,3.49227,13765.6,18082.19806,402.14391,0.81048,4.1,6248.56,,,,,,,,,
1.85762,3.68182,13792.225,18113.66109,403.87313,0.65667,4.2,6365.56,,,,,,,,,
