,과 목,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,비지배지분,총 계
,과 목,자본금,자본잉여금,자본조정,기타포괄손익누계액,이익잉여금,지배기업소유지분소 계,비지배지분,총 계
0,2015. 1.1 (전전기초),100000,7126,"(1,086,828)",12488331,10696290,22204919,79820,22284739
1,Ⅰ.당기연결총포괄손익,,,,,,,,
2,1.당기연결순이익,-,-,-,-,1211233,1211233,"(1,660)",1209573
3,2.매도가능금융자산평가손익,-,-,-,1012773,-,1012773,(11),1012762
4,3.만기보유금융자산평가손익,-,-,-,(362),-,(362),-,(362)
5,4.위험회피목적파생상품평가손익,-,-,-,69394,-,69394,-,69394
6,5.관계기업의기타포괄손익,-,-,-,23688,-,23688,-,23688
7,6.특별계정기타포괄손익,-,-,-,"(29,333)",-,"(29,333)",-,"(29,333)"
8,7.해외사업환산손익,-,-,-,"(19,617)",-,"(19,617)",311,"(19,306)"
9,8.순확정급여부채재측정요소,-,-,-,3417,-,3417,(13),3404
10,Ⅱ.자본에 직접 인식된 내역,,,,,,,,
11,1.연차배당,-,-,-,-,"(340,335)","(340,335)",-,"(340,335)"
12,2.자기주식의 취득,-,-,"(488,097)",-,-,"(488,097)",-,"(488,097)"
13,3.기타,-,(995),(849),-,-,"(1,844)","(2,538)","(4,382)"
14,2015. 12.31 (전전기말),"100,000=========","6,131========","(1,575,774)==========","13,548,291==========","11,567,188==========","23,645,836==========","75,909=========","23,721,745=========="
15,2016. 1.1 (전기초),100000,6131,"(1,575,774)",13548291,11567188,23645836,75909,23721745
16,Ⅰ.당기연결총포괄손익,,,,,,,,
17,1.당기연결순이익,-,-,-,-,2054267,2054267,95689,2149956
18,2.매도가능금융자산평가손익,-,-,-,1787045,-,1787045,9529,1796574
19,3.만기보유금융자산평가손익,-,-,-,(293),-,(293),-,(293)
20,4.위험회피목적파생상품평가손익,-,-,-,75860,-,75860,1134,76994
21,5.관계기업의기타포괄손익,-,-,-,42041,-,42041,-,42041
22,6.특별계정기타포괄손익,-,-,-,"(25,985)",-,"(25,985)",-,"(25,985)"
23,7.해외사업환산손익,-,-,-,"(96,878)",-,"(96,878)","(1,476)","(98,354)"
24,8.순확정급여부채재측정요소,-,-,-,"(19,821)",-,"(19,821)",1628,"(18,193)"
25,Ⅱ.자본에 직접 인식된 내역,,,,,,,,
26,1.연차배당,-,-,-,-,"(332,794)","(332,794)","(113,302)","(446,096)"
27,2.자기주식의 취득,-,-,"(541,994)",-,-,"(541,994)",-,"(541,994)"
28,3.유상증자,-,-,-,-,-,-,12176,12176
29,4.연결범위변동,-,-,-,-,-,-,1871916,1871916
30,5.기타,-,56953,-,-,-,56953,"(288,992)","(232,039)"
31,2016. 12.31 (전기말),"100,000==========","63,084==========","(2,117,768)==========","15,310,260==========","13,288,661==========","26,644,237==========","1,664,211==========","28,308,448=========="
32,2016.1.1 (전기초),100000,6131,"(1,575,774)",13548291,11567188,23645836,75909,23721745
33,Ⅰ.반기연결총포괄손익,,,,,,,,
34,1.반기연결순이익,-,-,-,-,1569551,1569551,51341,1620892
35,2.매도가능금융자산평가손익,-,-,-,3233991,-,3233991,"(4,111)",3229880
36,3.만기보유금융자산평가손익,-,-,-,(152),-,(152),-,(152)
37,4.위험회피목적파생상품평가손익,-,-,-,"(14,504)",-,"(14,504)","(10,158)","(24,662)"
38,5.관계기업의 기타포괄손익지분,-,-,-,9126,-,9126,-,9126
39,6.특별계정기타포괄손익,-,-,-,16985,-,16985,-,16985
40,7.해외사업환산손익,-,-,-,"(42,073)",-,"(42,073)","(1,492)","(43,565)"
41,8.순확정급여부채 재측정요소,-,-,-,"(13,801)",-,"(13,801)",(1),"(13,802)"
42,Ⅱ.자본에 직접 인식된 주주와의 거래,,,,,,,,
43,1.연차배당,-,-,-,-,"(332,793)","(332,793)","(113,302)","(446,095)"
44,2.자기주식의 취득,-,-,"(541,994)",-,-,"(541,994)",-,"(541,994)"
45,3.유상증자,,,,,,,2877,2877
46,4.연결범위변동,-,-,-,-,-,-,1871916,1871916
47,2016.6.30 (전반기말),"100,000==========","6,131==========","(2,117,768)==========","16,737,863==========","12,803,946==========","27,530,172==========","1,872,979==========","29,403,151=========="
48,2017.1.1 (당기초),100000,63084,"(2,117,768)",15310260,13288661,26644237,1664211,28308448
49,Ⅰ.반기연결총포괄손익,,,,,,,,
50,1.반기연결순이익,-,-,-,-,946727,946727,54118,1000845
51,2.매도가능금융자산평가손익,-,-,-,2762425,-,2762425,4886,2767311
52,3.만기보유금융자산평가손익,-,-,-,(102),-,(102),-,(102)
53,4.위험회피목적파생상품평가손익,-,-,-,"(9,786)",-,"(9,786)",1557,"(8,229)"
54,5.관계기업의 기타포괄손익지분,-,-,-,3168,-,3168,-,3168
55,6.특별계정기타포괄손익,-,-,-,1074,-,1074,-,1074
56,7.해외사업환산손익,-,-,-,42692,-,42692,"(1,443)",41249
57,8.순확정급여부채 재측정요소,-,-,-,(329),-,(329),116,(213)
58,Ⅱ.자본에 직접 인식된 주주와의 거래,,,,,,,,
59,1.연차배당,-,-,-,-,"(215,490)","(215,490)","(39,528)","(255,018)"
60,2017.6.30 (당반기말),"100,000==========","63,084==========","(2,117,768)==========","18,109,402==========","14,019,898==========","30,174,616==========","1,683,917==========","31,858,533=========="
