,과 목,제 64 (당) 2분기,제 64 (당) 2분기.1,제 63 (전) 2분기,제 63 (전) 2분기.1,제 63 (전) 기,제 63 (전) 기.1,제 62 (전전) 기,제 62 (전전) 기.1
0,Ⅰ.영업활동으로부터의 현금흐름,,5216620,,"(1,183,720)",,1956123,,1608186
1,1. 영업활동에서 창출된 현금흐름,1915840,,"(5,300,383)",,"(5,225,451)",,"(5,063,975)",
2,가. 당기순이익,794033,,1489744,,1733710,,1263207,
3,나. 손익조정사항,"(54,021)",,"(217,939)",,595344,,3447084,
4,다. 자산ㆍ부채의 증감,1175828,,"(6,572,188)",,"(7,554,505)",,"(9,774,266)",
5,2. 이자의 수취,3498478,,3485071,,7051418,,6678669,
6,3. 이자의 지급,"(211,341)",,"(200,122)",,"(421,230)",,"(346,715)",
7,4. 배당금 수입,603258,,644563,,1077663,,773515,
8,5. 법인세부담액,"(589,615)",,187151,,"(526,277)",,"(433,308)",
9,Ⅱ. 투자활동으로부터의 현금흐름,,"(3,282,188)",,"(1,466,569)",,"(4,411,023)",,"(3,835,319)"
10,1. 매도가능금융자산의 처분,4103241,,6425211,,10934657,,8471322,
11,2. 매도가능금융자산의 취득,"(8,052,766)",,"(7,585,294)",,"(15,149,903)",,"(12,506,795)",
12,3. 만기보유금융자산의 감소,"(1,392)",,16260,,16315,,31713,
13,4. 위험회피목적파생상품자산의 정산,3476,,33892,,36612,,"(68,383)",
14,5. 관계기업투자주식의 취득,"(6,705)",,"(5,904)",,"(10,151)",,"(91,537)",
15,6. 관계기업투자주식의 처분,9948,,2822,,3592,,15820,
16,7. 투자부동산 및 유형자산의 취득,"(69,323)",,"(879,557)",,"(1,443,356)",,"(338,829)",
17,8. 투자부동산 및 유형자산의 처분,669089,,1477,,2067,,11195,
18,9. 무형자산의 취득,"(52,562)",,"(49,385)",,"(154,289)",,"(286,261)",
19,10. 무형자산의 처분,3285,,107,,5369,,89787,
20,11. 매각예정자산의 처분,-,,567177,,994043,,855826,
21,12. 기타,111521,,6625,,354021,,"(19,177)",
22,Ⅲ. 재무활동으로부터의 현금흐름,,"(1,927,406)",,1997259,,1832879,,1558230
23,1. 배당금 지급 등,"(513,403)",,"(398,677)",,"(448,514)",,"(255,018)",
24,2. 차입금의 증가,2005000,,4460930,,6793699,,10637000,
25,3. 차입금의 감소,"(2,161,000)",,"(3,645,000)",,"(5,705,800)",,"(10,575,000)",
26,4. 사채의 발행,3048881,,8506683,,12150787,,39536584,
27,5. 사채의 상환,"(4,120,000)",,"(7,135,133)",,"(11,548,693)",,"(38,232,267)",
28,6. 비지배지분의 증감 등,"(186,884)",,208456,,591400,,446931,
29,Ⅳ. 현금및현금성자산의 순증감,,7026,,"(653,030)",,"(622,021)",,"(668,903)"
30,Ⅴ. 기초의 현금및현금성자산,,3434345,,4055552,,4055552,,4723503
31,Ⅵ. 외화표시 현금및현금성자산에 대한 환율변동효과,,634,,(62),,814,,952
32,Ⅶ.반기말의 현금및현금성자산,,"3,442,005===========",,"3,402,460===========",,"3,434,345===========",,"4,055,552==========="
