,과 목,제 62 (당) 2분기,제 62 (당) 2분기.1,제 61 (전) 2분기,제 61 (전) 2분기.1,제 61 (전) 기,제 61 (전) 기.1,제 60 (전전) 기,제 60 (전전) 기.1
0,Ⅰ.영업활동으로부터의 현금흐름,,"(1,108,592)",,2083913,,4834400,,5288088
1,1. 영업활동에서 창출된 현금흐름,"(4,635,735)",,"(1,232,158)",,"(1,452,282)",,"(719,502)",
2,가. 당기순이익,1000845,,1620892,,2149956,,1209573,
3,나. 손익조정사항(주석 37),1858253,,1664447,,4123921,,5971002,
4,다. 자산ㆍ부채의 증감(주석 37),"(7,494,833)",,"(4,517,497)",,"(7,726,159)",,"(7,900,077)",
5,2. 이자의 수취,3298775,,3332792,,6666585,,5832101,
6,3. 이자의 지급,"(166,458)",,"(196,623)",,"(333,251)",,"(100,376)",
7,4. 배당금 수입,531185,,362919,,448334,,367057,
8,5. 법인세부담액,"(136,359)",,"(183,017)",,"(494,986)",,"(91,192)",
9,Ⅱ. 투자활동으로부터의 현금흐름,,"(2,462,744)",,"(2,097,977)",,"(2,934,095)",,"(7,176,636)"
10,1. 매도가능금융자산의 처분,4610365,,6341036,,11222559,,13912184,
11,2. 매도가능금융자산의 취득,"(7,416,205)",,"(7,555,721)",,"(13,504,092)",,"(19,751,363)",
12,3. 만기보유금융자산의 감소,30599,,1764,,94548,,328039,
13,4. 위험회피목적파생상품자산의 정산,"(53,109)",,"(117,183)",,"(140,929)",,"(217,392)",
14,5. 관계기업투자주식의 처분,7042,,10419,,26441,,27507,
15,6. 관계기업투자주식의 취득,"(89,485)",,"(9,560)",,"(502,533)",,"(9,666)",
16,7. 매각예정자산의 처분,633535,,425546,,786999,,273814,
17,8. 투자부동산의 취득,"(109,762)",,"(100,450)",,"(694,132)",,"(1,606,914)",
18,9. 투자부동산의 처분,-,,7853,,679823,,51655,
19,10 .유형자산의 취득,"(28,405)",,"(55,158)",,"(131,107)",,"(67,604)",
20,11. 유형자산의 처분,2752,,1506,,342517,,20456,
21,12. 무형자산의 취득,"(60,477)",,"(90,291)",,"(176,213)",,"(117,536)",
22,13. 무형자산의 처분,1426,,37047,,48930,,7389,
23,14. 사업결합,-,,"(1,045,810)",,"(983,438)",,675,
24,15. 연결범위변동,"(2,291)",,52582,,20445,,"(41,840)",
25,16. 기타,11271,,"(1,557)",,"(23,913)",,13960,
26,,,,,,,,,
27,Ⅲ.재무활동으로부터의 현금흐름,,1134192,,"(589,552)",,552932,,"(52,634)"
28,1.배당금 지급,"(255,017)",,"(446,095)",,"(446,095)",,"(340,335)",
29,2.자기주식의 취득,-,,"(541,994)",,"(541,994)",,"(488,097)",
30,3.차입금의 상환,"(5,475,000)",,"(6,181,000)",,"(14,187,116)",,-,
31,4.차입금의 차입,5647000,,6461000,,15165434,,532815,
32,5.사채의 발행,18254057,,18849956,,38544260,,-,
33,6.사채의 상환,"(17,106,417)",,"(18,687,200)",,"(37,624,400)",,-,
34,7.비지배지분의 증감,69569,,"(44,219)",,"(357,157)",,242983,
35,Ⅳ.현금및현금성자산의 순감소,,"(2,437,144)",,"(603,616)",,2453237,,"(1,941,182)"
36,Ⅴ.기초의 현금및현금성자산,,4723503,,2276606,,2276606,,4216720
37,Ⅵ.외화표시 현금 및 현금성자산에 대한 환율변동효과,,360,,4946,,"(6,340)",,1068
38,Ⅶ.반기말의 현금및현금성자산(주석 37),,"2,286,719===========",,"1,677,936===========",,"4,723,503===========",,"2,276,606==========="
