,과 목,자 본 금,기타불입자본,신종자본증권,기타자본구성요소,이익잉여금,지배기업의소유주 귀속,비지배지분,총 계
0,2018.1.1 (전기초),4342650000000,"(458,006,536,981)",497930280000,1239339355825,3729643338247,9351556437091,886546107872,10238102544963
1,I. 반기총포괄손익,,,,,,,,
2,1. 반기순이익,-,-,-,-,247794713799,247794713799,55206272990,303000986789
3,2. 유형자산재평가이익,-,-,-,4167704967,-,4167704967,-,4167704967
4,3. 매도가능금융자산평가손익,-,-,-,"(250,083,948,017)",-,"(250,083,948,017)",14276488591,"(235,807,459,426)"
5,4. 만기보유금융자산평가손익,-,-,-,"(38,014,321,755)",-,"(38,014,321,755)","(12,824,249,095)","(50,838,570,850)"
6,5. 관계기업의 기타포괄손익지분,-,-,-,2619757355,-,2619757355,65491381,2685248736
7,6. 위험회피목적파생상품평가손익,-,-,-,68817732091,-,68817732091,1767305605,70585037696
8,7. 특별계정기타포괄손익,-,-,-,"(8,752,695,037)",-,"(8,752,695,037)",5492509,"(8,747,202,528)"
9,8. 해외사업환산손익,-,-,-,8571597150,-,8571597150,"(7,904,944)",8563692206
10,II. 자본에 직접 인식된 주주와의 거래,,,,,,,,
11,1. 연차배당,-,-,-,-,"(105,194,635,000)","(105,194,635,000)","(8,517,265,350)","(113,711,900,350)"
12,2. 신종자본증권 발행,-,-,1060069917526,-,-,1060069917526,-,1060069917526
13,3. 신종자본증권 배당,-,-,-,-,"(21,385,787,205)","(21,385,787,205)","(840,000,000)","(22,225,787,205)"
14,4. 비지배지분의 증감,-,-,-,-,-,-,885000000,885000000
15,2018.6.30 (전반기말),4342650000000,"(458,006,536,981)",1558000197526,1026665182579,3850857629841,10320166472965,936562739559,11256729212524
16,2019.1.1 (당기초),4342650000000,"(458,006,536,981)",1558000197526,878705504134,3985549304135,10306898468814,1122758599561,11429657068375
17,I. 반기총포괄손익,,,,,,,,
18,1. 반기순이익,-,-,-,-,90122009990,90122009990,"(1,400,037,872)",88721972118
19,2. 유형자산재평가이익,-,-,-,2757892856,-,2757892856,-,2757892856
20,3. 매도가능금융자산평가손익,-,-,-,833563365886,-,833563365886,62530338391,896093704277
21,4. 만기보유금융자산평가손익,-,-,-,"(70,411,984,563)",-,"(70,411,984,563)",8838052018,"(61,573,932,545)"
22,5. 관계기업의 기타포괄손익지분,-,-,-,"(511,958,128)",-,"(511,958,128)","(439,900,736)","(951,858,864)"
23,6. 위험회피목적파생상품평가손익,-,-,-,"(117,109,387,984)",-,"(117,109,387,984)","(3,486,855,677)","(120,596,243,661)"
24,7. 특별계정기타포괄손익,-,-,-,72734869743,-,72734869743,2883352,72737753095
25,8. 해외사업환산손익,-,-,-,44099160925,-,44099160925,35040265,44134201190
26,II. 자본에 직접 인식된 주주와의 거래,,,,,,,,
27,1. 연차배당,-,-,-,-,"(75,139,025,000)","(75,139,025,000)","(7,381,629,970)","(82,520,654,970)"
28,2. 신종자본증권 배당,-,-,-,-,"(38,312,742,952)","(38,312,742,952)","(6,160,000,000)","(44,472,742,952)"
29,Ⅲ. 비지배지분의 증감,-,-,-,-,-,-,29918455547,29918455547
30,2019.6.30 (당반기말),4342650000000,"(458,006,536,981)",1558000197526,1643827462869,3962219546173,11048690669587,1205214944879,12253905614466
