,과 목,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,지배기업 소유지분,비지배지분,총 계
,과 목,자본금,자본잉여금,자본조정,기타포괄손익누계액,이익잉여금,지배기업소유지분소 계,비지배지분,총 계
0,2014. 1.1 (전전기초),100000,6131,"(882,863)",10236507,9510401,18970176,60215,19030391
1,Ⅰ.당기연결총포괄손익,,,,,,,,
2,1.당기연결순이익,-,-,-,-,1337488,1337488,(458),1337030
3,2.매도가능금융자산평가손익,-,-,-,2186379,-,2186379,14,2186393
4,3.만기보유금융자산평가손익,-,-,-,(405),-,(405),-,(405)
5,4.위험회피목적파생상품평가손익,-,-,-,129231,-,129231,-,129231
6,5.관계기업의기타포괄손익,-,-,-,"(71,277)",-,"(71,277)",-,"(71,277)"
7,6.특별계정기타포괄손익,-,-,-,35622,-,35622,-,35622
8,7.해외사업환산손익,-,-,-,11615,-,11615,1353,12968
9,8.순확정급여부채재측정요소,-,-,-,"(39,341)",-,"(39,341)",(59),"(39,400)"
10,Ⅱ.자본에 직접 인식된 내역,,,,,,,,
11,1.연차배당,-,-,-,-,"(162,414)","(162,414)",-,"(162,414)"
12,2.연결실체의 변동,-,-,-,-,-,-,9087,9087
13,3.자기주식의 취득,-,-,"(201,528)",-,-,"(201,528)",-,"(201,528)"
14,4.기타,-,995,"(2,437)",-,10815,9373,9668,19041
15,2014. 12.31 (전전기말),"100,000==========","7,126==========","(1,086,828)==========","12,488,331==========","10,696,290==========","22,204,919==========","79,820==========","22,284,739=========="
16,2015. 1.1 (전기초),100000,7126,"(1,086,828)",12488331,10696290,22204919,79820,22284739
17,Ⅰ.당기연결총포괄손익,,,,,,,,
18,1.당기연결순이익,-,-,-,-,1211233,1211233,"(1,660)",1209573
19,2.매도가능금융자산평가손익,-,-,-,1012773,-,1012773,(11),1012762
20,3.만기보유금융자산평가손익,-,-,-,(362),-,(362),-,(362)
21,4.위험회피목적파생상품평가손익,-,-,-,69394,-,69394,-,69394
22,5.관계기업의기타포괄손익,-,-,-,23688,-,23688,-,23688
23,6.특별계정기타포괄손익,-,-,-,"(29,333)",-,"(29,333)",-,"(29,333)"
24,7.해외사업환산손익,-,-,-,"(19,617)",-,"(19,617)",311,"(19,306)"
25,8.순확정급여부채재측정요소,-,-,-,3417,-,3417,(13),3404
26,Ⅱ.자본에 직접 인식된 내역,,,,,,,,
27,1.연차배당,-,-,-,-,"(340,335)","(340,335)",-,"(340,335)"
28,2.자기주식의 취득,-,-,"(488,097)",-,-,"(488,097)",-,"(488,097)"
29,3.기타,-,(995),(849),-,-,"(1,844)","(2,538)","(4,382)"
30,2015. 12.31 (전기말),"100,000=========","6,131========","(1,575,774)==========","13,548,291==========","11,567,188==========","23,645,836==========","75,909=========","23,721,745=========="
31,2015.1.1 (전기초),100000,7126,"(1,086,828)",12488331,10696290,22204919,79820,22284739
32,Ⅰ.반기연결총포괄손익,,,,,,,,
33,1.반기연결순이익,-,-,-,-,906454,906454,(37),906417
34,2.매도가능금융자산평가손익,-,-,-,"(1,251)",-,"(1,251)",(9),"(1,260)"
35,3.만기보유금융자산평가손익,-,-,-,(181),-,(181),-,(181)
36,4.위험회피목적파생상품평가손익,-,-,-,59129,-,59129,-,59129
37,5.관계기업의 기타포괄손익지분,-,-,-,16132,-,16132,-,16132
38,6.특별계정기타포괄손익,-,-,-,4742,-,4742,-,4742
39,7.해외사업환산손익,-,-,-,22025,-,22025,435,22460
40,8.순확정급여부채 재측정요소,-,-,-,(619),-,(619),-,(619)
41,Ⅱ.자본에 직접 인식된 주주와의 거래,,,,,,,,
42,1.연차배당,-,-,-,-,"(340,335)","(340,335)",-,"(340,335)"
43,2.연결범위변동,-,-,-,-,-,-,"(1,661)","(1,661)"
44,3.기타,,1989,-,-,-,1989,"(1,989)",-
45,2015.6.30 (전반기말),"100,000==========","9,115==========","(1,086,828)==========","12,588,308==========","11,262,409==========","22,873,004==========","76,559==========","22,949,563 =========="
46,2016.1.1 (당기초),100000,6131,"(1,575,774)",13548291,11567188,23645836,75909,23721745
47,Ⅰ.반기연결총포괄손익,,,,,,,,
48,1.반기연결순이익,-,-,-,-,1569551,1569551,51341,1620892
49,2.매도가능금융자산평가손익,-,-,-,3233991,-,3233991,"(4,111)",3229880
50,3.만기보유금융자산평가손익,-,-,-,(152),-,(152),-,(152)
51,4.위험회피목적파생상품평가손익,-,-,-,"(14,504)",-,"(14,504)","(10,158)","(24,662)"
52,5.관계기업의 기타포괄손익지분,-,-,-,9126,-,9126,-,9126
53,6.특별계정기타포괄손익,-,-,-,16985,-,16985,-,16985
54,7.해외사업환산손익,-,-,-,"(42,073)",-,"(42,073)","(1,492)","(43,565)"
55,8.순확정급여부채 재측정요소,-,-,-,"(13,801)",-,"(13,801)",(1),"(13,802)"
56,Ⅱ.자본에 직접 인식된 주주와의 거래,,,,,,,,
57,1.연차배당,-,-,-,-,"(332,793)","(332,793)","(113,302)","(446,095)"
58,2.자기주식의 취득,-,-,"(541,994)",-,-,"(541,994)",-,"(541,994)"
59,3.유상증자,,,,,,,2877,2877
60,4.연결범위변동,-,-,-,-,-,-,1871916,1871916
61,2016.6.30 (당반기말),100000,6131,"(2,117,768)",16737863,12803946,27530172,1872979,29403151
