,item_code,title,ori_price,dis_price,discount_percent,provider,num,main_category,sub_category,item_ranking
1661,1538536931,대상종가집_포기김치_3.3KG,26800,26800,0,홈플러스당일배송,4569,식품,김치/반찬,69
1662,1538813893,10종 믹스너트 국민안주 1kg+1kg 견과류 땅콩 EE,10700,10650,0,미다몰,4172,식품,과일/견과,72
1663,1538847008,[드레멜]드레멜 DREMEL 3000-N/10 다용도조각기 로타리툴세트,54400,52230,3,1등공구,6598,생활/주방/건강,공구설비/자재,98
1664,1538897860,[홍천한우마을]한우로스 4칸(꽃등심2+모듬구이+채끝)퀵발송가능,117400,111530,5,홍천한우마을,4354,식품,축산,54
1665,1538907753,초L)청양고추/봉,2490,2490,0,롯데슈퍼프레시,5244,식품,채소,44
1666,1539511922,[아이깨끗해]손세정제 레몬 중지함 선물세트 x1개/설 선물세트,7900,7670,2,라이온코리아직영몰,2556,화장품/헤어,바디클렌져/바디로션,56
1667,1539521424,스피드랙 철제 무볼트조립식 앵글선반 베란다 수납장,59000,14640,75,■보람쇼핑■,8502,컴퓨터/전자,노트북/태블릿,86
1668,1539525586,[아이깨끗해]손세정제 플라워 선물세트 /250ml 3개+200ml 3개,9900,9850,0,라이온코리아직영몰,2550,화장품/헤어,바디클렌져/바디로션,50
1669,1539530892,서울문화사 명탐정 코난 만화책 개정판 1-98 권,4950,4950,0,제이북스,10431,도서/음반,만화/잡지,15
1670,1539661823,[정관장]홍삼원 골드 50ml 60포 1박스/홍삼/선물/쇼핑백포함,44400,39960,10,로그온샵,5188,식품,정관장/홍삼,88
1671,1539750412,[칼하트]포켓 반팔 티셔츠 K87 남여공용 반팔티/ 칼하트,22500,21380,4,롯데ON,600,패션의류,브랜드 진/캐쥬얼 ,100
1672,1539876617,(1+1)CJ_백설토마토스파게티소스_610G,6990,6680,4,홈플러스당일배송,4889,식품,캔/오일/조미료,89
1673,1539943123,[보쉬]드레멜 2000 Versatip 가스인두기 납땜 휴대용세트,47300,44940,4,1등공구,6576,생활/주방/건강,공구설비/자재,76
1674,1540030117,[노즈스위퍼]코세척분말(리필용300포) / KF94마스크 증정,34290,31720,7,메디코어노즈스위퍼,6615,생활/주방/건강,건강/의료용품,15
1675,1540050861,자연의벗 다자연 어성초 마스크팩 30매,27000,27000,0,CJmall,2175,화장품/헤어,보습제품,75
1676,1540065929,[너트리]황태채 1kg 자연건조 500g 2개,29900,28650,4,너트리,4433,식품,수산,33
1677,1540104267,[아키클래식]샤인 시리즈/키높이운동화 어글리슈즈 스니커즈,34900,33610,3,아키클래식,1241,신발/잡화,여성신발,41
1678,1540104267,[아키클래식]샤인 시리즈/키높이운동화 어글리슈즈 스니커즈,34900,33610,3,아키클래식,1430,신발/잡화,운동화,30
1679,1540128243,[시스테마]시스테마 스펀지 치실 40m x 10개,16800,16080,4,라이온코리아직영몰,6191,생활/주방/건강,위생용품,91
1680,1540176166,파프리카 (3입/봉),6490,6200,4,롯데슈퍼프레시,5264,식품,채소,64
1681,1540410087,[리벤스]화이트 메탈렉 4단선반(450) 다용도선반/메탈선반,19900,19900,0,아소리빙,5765,생활/주방/건강,샤워기/필터/생활용품,65
1682,1540410156,[리벤스]화이트 메탈렉 5단선반(450) 메탈선반/철제선반,22900,22900,0,아소리빙,5747,생활/주방/건강,샤워기/필터/생활용품,47
1683,154043411,[아디다스]아디다스 나이키外 신상 트레이닝 팬츠/긴바지 모음,82000,27900,65,비블루멀티샵,7487,스포츠/자동차,ALL,71
1684,154043411,[아디다스]아디다스 나이키外 신상 트레이닝 팬츠/긴바지 모음,82000,27900,65,비블루멀티샵,7545,스포츠/자동차,스포츠의류/운동화,29
1685,154043755,[톰포드]톰포드 명품 안경테 투명 뿔테 하금테 동글이 사각,129000,129000,0,이태리라인,1142,신발/잡화,브랜드 쥬얼리/시계,42
1686,1540600102,[생 로랑][생로랑] 모노그램 마틀라세 태블릿 559193 CWU01 1000 여자 클러치/파우치백,1097000,881880,19,신세계몰,1797,신발/잡화,수입명품,97
1687,1540757227,안국건강_눈건강루테인지아잔틴_600MGx60캡슐,21490,20530,4,홈플러스당일배송,6770,생활/주방/건강,홈플러스 리빙,70
1688,1541065619,[휠라키즈](현대백화점)휠라키즈 헤리티지스포츠스쿨백팩책가방 FK3BEB1605X,30000,26100,13,현대백화점,3516,유아동/출산,유아동가방/잡화 ,16
1689,154125710,전문가용컬렉션고급 커트가위 틴닝 장가위 미용가위,40000,40000,0,헤어4u,2477,화장품/헤어,화장소품,77
1690,1541342390,1+1 청도 반건시곶감 24입(60g/중소과)/보자기없음,42900,40890,4,G-효성농산,4176,식품,과일/견과,76
1691,1541367463,[나이키]나이키 버사텍 농구공 (브라운) 정품100%,40900,38860,4,건강한셀파,7780,스포츠/자동차,구기/라켓,64
1692,1541458457,중국 LTE무제한 포켓와이파이 공항수령무료,4800,4800,0,트립모아(TRIPMOA),11406,여행,여행소품,90
1693,1541490887,[피스넷]5가지 수면 ASMR 라디오 블루투스 스피커 피스넷 드림,25150,19900,20,피스넷,9576,컴퓨터/전자,MP3/스피커,60
1694,1541694226,2021년- 창비 고등학교 고등 문학 자습서 (최원식 교과서편) - 고2~3용,28800,28800,0,LPStory,10091,도서/음반,시/소설,75
1695,1542024074,[닥터하우스][닥터하우스] 트윙클 스토브 (핑크/크림),59900,57510,3,롯데아이몰,7493,스포츠/자동차,ALL,77
1696,1542024074,[닥터하우스][닥터하우스] 트윙클 스토브 (핑크/크림),59900,57510,3,롯데아이몰,8017,스포츠/자동차,캠핑/낚시,1
1697,1542037112,지성의 돈되는 부동산 1인법인  지성,17100,17100,0,예스24도서,10205,도서/음반,경제/경영/개발,89
1698,1542528796,포그난 라운드 레일 곡선 병원 탈의실 커튼 트랙레일,17000,10000,41,포그난샵,7287,가구/침구,커튼/블라인드,87
1699,1542584807,[종가집]종가집  포기김치 행복이온 10kg,46900,45970,1,종가집공식파트너,4597,식품,김치/반찬,97
1700,1542595701,[루미큐브]일반형 루미큐브 클래식 정품 부직포타일주머니 증정,36000,28800,20,휴플레이,6214,생활/주방/건강,악기/취미/원예용품,14
1701,1542752947,(몸보신추천선물) 암소1등급이상  사골우족선물세트4kg,54900,52160,4,강진착한한우명품관,4362,식품,축산,62
1702,1542850954,[비상교육]2021년 비상교육 고등학교 문학 자습서 (한철우 교과서편) 2~3학년,26100,26100,0,LPStory,10068,도서/음반,시/소설,52
1703,1543106215,초L)신선한알찬란 (15입/특란),5490,5260,4,롯데슈퍼프레시,4335,식품,축산,35
1704,1543495365,종이컵 1000개 한박스(사업자반값상품),7900,7300,7,우리스카이종이컵,6047,생활/주방/건강,화장지/일용잡화,47
1705,1543564283,퀸즈헤나 정품 천연 염색약 레드 뉴브라운 내추럴,20000,18000,10,스토어파크,2686,화장품/헤어,샴푸/헤어에센스/스타일링,86
1706,1543885453,[프로스펙스]태권도화  프로스펙스 태권도화 XT21 태권도신발,23000,21850,5,sinatkd,7656,스포츠/자동차,휘트니스/수영,40
1707,1544198664,[헬시메이트]이스키움 자세 교정 기능성 방석 골반 수험생 의자,29500,29500,0,헬시메이트,7388,가구/침구,홈패션/인테리어소품,88
1708,1544295195,[갤럭시]갤럭시노트10노트9 S20 S10 S9 S8 A30 A50 A8 핸드폰,9900,8900,10,필리스샵,9765,컴퓨터/전자,디지털 액세서리,49
1709,1544518216,[3M]3m 손소독제 새니타이저 베이직겔 500ml,10200,9390,7,노즈큐어,5647,생활/주방/건강,손소독제/소독기기,47
1710,1544623802,샤오미 XINXIANG 자동 우유 거품기,41000,41000,0,gshopper11,8997,컴퓨터/전자,주방가전,81
1711,1544678564,[블루마마]블루마마 흡착식판+곰돌이볼+플레이트+양손컵 4종세트,55000,55000,0,bluemama,3040,유아동/출산,분유/이유식,40
1712,1544695000,1+1 청도 반건시곶감 24입(70g/중과)/금보자기,54900,52160,4,G-효성농산,4133,식품,과일/견과,33
1713,1544850646,[바나바나]신학기 인기 추천 BAG 지갑/ 바나바나,38900,35020,9,롯데ON,1081,신발/잡화,브랜드 신발/가방,81
1714,1544913781,여성운동화 9cm 키높이운동화 하이탑 통굽 스니커즈,40200,38900,3,베리슈1,1260,신발/잡화,여성신발,60
1715,1544913781,여성운동화 9cm 키높이운동화 하이탑 통굽 스니커즈,40200,38900,3,베리슈1,1438,신발/잡화,운동화,38
1716,1544989663,[쌤소나이트]쌤소나이트 프리미어 2 비즈니스 백팩 남자백팩,78900,78900,0,더리빙샵,1729,신발/잡화,수입명품,29
1717,1545347296,[애플]미국 앱스토어 아이튠즈 기프트카드 100달러 100불,106500,106500,0,Game24,11897,e쿠폰/티켓,상품권,79
1718,1545566452,[퓨리케어]LG정수기렌탈 상하좌우냉온정수 WD503AP최대20만+3개월,36900,36900,0,LG케어솔루션(렌탈),6851,생활/주방/건강,렌탈 서비스,51
1719,1545602791,[정원삼]6년근 고려홍삼정 365스틱 홍삼 홍삼스틱 2박스 선물용,56900,55940,1,네이처가든샵,5129,식품,정관장/홍삼,29
1720,1545609849,(현대Hmall)[스파클 빈병 회수] 스파클 생수 2리터 6병(6팩) - 총36병,17960,17250,3,현대Hmall,4647,식품,생수/커피/음료,47
1721,1545631653,[과일나라]페이셜케어 스마트휩 클렌징폼 225ml X5개 / 5종세트,12900,12900,0,COSTY,1928,화장품/헤어,ALL,28
1722,1545631653,[과일나라]페이셜케어 스마트휩 클렌징폼 225ml X5개 / 5종세트,12900,12900,0,COSTY,2014,화장품/헤어,화장품,14
1723,1545675417,동원 튜나리챔100호/참치선물세트/명절,25590,24370,4,씨케이스토리,4820,식품,캔/오일/조미료,20
