DATE,DFII10
2006-01-01,2.0060000000000000
2006-02-01,2.0489473684210526
2006-03-01,2.1973913043478261
2006-04-01,2.4089473684210526
2006-05-01,2.4459090909090909
2006-06-01,2.5295454545454545
2006-07-01,2.5070000000000000
2006-08-01,2.2908695652173913
2006-09-01,2.3195000000000000
2006-10-01,2.4114285714285714
2006-11-01,2.2919047619047619
2006-12-01,2.2505000000000000
2007-01-01,2.4366666666666667
2007-02-01,2.3605263157894737
2007-03-01,2.1768181818181818
2007-04-01,2.2557142857142857
2007-05-01,2.3736363636363636
2007-06-01,2.6909523809523810
2007-07-01,2.6366666666666667
2007-08-01,2.4382608695652174
2007-09-01,2.2573684210526316
2007-10-01,2.2022727272727273
2007-11-01,1.7680000000000000
2007-12-01,1.7890000000000000
2008-01-01,1.4690476190476190
2008-02-01,1.4050000000000000
2008-03-01,1.0910000000000000
2008-04-01,1.3622727272727273
2008-05-01,1.4600000000000000
2008-06-01,1.6285714285714286
2008-07-01,1.5690909090909091
2008-08-01,1.6761904761904762
2008-09-01,1.8500000000000000
2008-10-01,2.7522727272727273
2008-11-01,2.8883333333333333
2008-12-01,2.1700000000000000
2009-01-01,1.9120000000000000
2009-02-01,1.7521052631578947
2009-03-01,1.7090909090909091
2009-04-01,1.5676190476190476
2009-05-01,1.7170000000000000
2009-06-01,1.8622727272727273
2009-07-01,1.8227272727272727
2009-08-01,1.7738095238095238
2009-09-01,1.6419047619047619
2009-10-01,1.4833333333333333
2009-11-01,1.2752631578947368
2009-12-01,1.3645454545454545
2010-01-01,1.3747368421052632
2010-02-01,1.4189473684210526
2010-03-01,1.5082608695652174
2010-04-01,1.5009090909090909
2010-05-01,1.3070000000000000
2010-06-01,1.2568181818181818
2010-07-01,1.2409523809523810
2010-08-01,1.02181818181818181818
2010-09-01,0.90904761904761904762
2010-10-01,0.52500000000000000000
2010-11-01,0.66600000000000000000
2010-12-01,1.04409090909090909091
2011-01-01,1.0605000000000000
2011-02-01,1.2378947368421053
2011-03-01,0.96391304347826086957
2011-04-01,0.86350000000000000000
2011-05-01,0.77857142857142857143
2011-06-01,0.75545454545454545455
2011-07-01,0.62350000000000000000
2011-08-01,0.13521739130434782609
2011-09-01,0.07761904761904761905
2011-10-01,0.18600000000000000000
2011-11-01,0.00150000000000000000
2011-12-01,-0.03142857142857142857
2012-01-01,-0.10800000000000000000
2012-02-01,-0.25450000000000000000
2012-03-01,-0.14136363636363636364
2012-04-01,-0.21380952380952380952
2012-05-01,-0.34136363636363636364
2012-06-01,-0.50047619047619047619
2012-07-01,-0.60190476190476190476
2012-08-01,-0.58565217391304347826
2012-09-01,-0.71315789473684210526
2012-10-01,-0.74857142857142857143
2012-11-01,-0.77250000000000000000
2012-12-01,-0.75750000000000000000
2013-01-01,-0.60857142857142857143
2013-02-01,-0.57052631578947368421
2013-03-01,-0.58500000000000000000
2013-04-01,-0.65227272727272727273
2013-05-01,-0.35500000000000000000
2013-06-01,0.25150000000000000000
2013-07-01,0.46000000000000000000
2013-08-01,0.55272727272727272727
2013-09-01,0.66400000000000000000
2013-10-01,0.42863636363636363636
2013-11-01,0.54789473684210526316
2013-12-01,0.73857142857142857143
2014-01-01,0.63190476190476190476
2014-02-01,0.55210526315789473684
2014-03-01,0.55571428571428571429
2014-04-01,0.54285714285714285714
2014-05-01,0.36809523809523809524
2014-06-01,0.36952380952380952381
2014-07-01,0.27954545454545454545
2014-08-01,0.22380952380952380952
2014-09-01,0.46095238095238095238
2014-10-01,0.38409090909090909091
2014-11-01,0.44555555555555555556
2014-12-01,0.51045454545454545455
2015-01-01,0.27450000000000000000
2015-02-01,0.26000000000000000000
2015-03-01,0.28090909090909090909
2015-04-01,0.07681818181818181818
2015-05-01,0.33200000000000000000
2015-06-01,0.49772727272727272727
2015-07-01,0.50363636363636363636
2015-08-01,0.55571428571428571429
2015-09-01,0.65000000000000000000
2015-10-01,0.57142857142857142857
2015-11-01,0.69263157894736842105
2015-12-01,0.72772727272727272727
2016-01-01,0.66526315789473684211
2016-02-01,0.47200000000000000000
2016-03-01,0.33727272727272727273
2016-04-01,0.19047619047619047619
2016-05-01,0.21190476190476190476
2016-06-01,0.17409090909090909091
2016-07-01,0.03850000000000000000
2016-08-01,0.08826086956521739130
2016-09-01,0.11571428571428571429
2016-10-01,0.09750000000000000000
2016-11-01,0.32000000000000000000
2016-12-01,0.55619047619047619048
2017-01-01,0.42100000000000000000
2017-02-01,0.40000000000000000000
2017-03-01,0.48565217391304347826
2017-04-01,0.39105263157894736842
2017-05-01,0.46681818181818181818
2017-06-01,0.45818181818181818182
2017-07-01,0.54600000000000000000
2017-08-01,0.43347826086956521739
2017-09-01,0.36800000000000000000
2017-10-01,0.49809523809523809524
2017-11-01,0.49571428571428571429
2017-12-01,0.50300000000000000000
2018-01-01,0.54000000000000000000
2018-02-01,0.75736842105263157895
2018-03-01,0.75190476190476190476
2018-04-01,0.74142857142857142857
2018-05-01,0.83590909090909090909
2018-06-01,0.79476190476190476190
2018-07-01,0.77476190476190476190
2018-08-01,0.79000000000000000000
2018-09-01,0.88105263157894736842
2018-10-01,1.04090909090909090909
2018-11-01,1.1130000000000000
2018-12-01,1.01631578947368421053
2019-01-01,0.92000000000000000000
2019-02-01,0.79947368421052631579
2019-03-01,0.65809523809523809524
2019-04-01,0.59571428571428571429
2019-05-01,0.56863636363636363636
2019-06-01,0.37400000000000000000
2019-07-01,0.30636363636363636364
2019-08-01,0.04000000000000000000
2019-09-01,0.11250000000000000000
2019-10-01,0.14590909090909090909
