expinf,highyield,m2,rgdp,house,10tminust2,unemp,nq100
0.363375234,0.261897726,-0.329014149,-0.445885521,-1.225083031,0.005006497,0.852966772,-0.538784563
0.695093198,0.111890544,-0.306584018,-0.423494877,-1.225083031,0.153734898,0.807824379,-0.490441581
1.117669629,0.003677427,-0.282578661,-0.401065278,-1.225083031,0.219947419,0.672397198,-0.480397302
1.260905907,-0.039279996,-0.260320169,-0.378596645,-1.171449923,0.221264403,0.672397198,-0.536775708
1.093600836,0.037591913,-0.240823937,-0.356088914,-1.171449923,0.126975139,0.627254805,-0.5256096
1.216150697,-0.091797789,-0.202040007,-0.333542022,-1.171449923,0.213260318,0.717539592,-0.531926874
1.330930897,-0.237068195,-0.19035093,-0.310955906,-1.135473805,0.426157643,0.762681985,-0.505614218
1.40791672,-0.211085379,-0.193206228,-0.288330477,-1.135473805,0.502588146,0.627254805,-0.50298668
1.377916514,-0.276618889,-0.174013171,-0.265665689,-1.135473805,0.485172164,0.536970018,-0.473129642
1.056492738,-0.290579184,-0.156393736,-0.242961462,-1.026662603,0.286852493,0.582112411,-0.447506482
0.742323914,-0.424566755,-0.147345008,-0.220217733,-1.026662603,0.458185339,0.536970018,-0.41235337
0.167123886,-0.188478036,-0.132330631,-0.197434429,-1.026662603,0.786034959,0.536970018,-0.439247439
0.347933951,-0.272218966,-0.111812588,-0.17461148,-0.918292825,1.09809212,0.446685231,-0.371941454
0.500582058,-0.295142325,-0.093856292,-0.151748814,-0.918292825,1.256527603,0.401542837,-0.378046289
0.404870617,-0.332678847,-0.075662589,-0.128846375,-0.918292825,1.284445399,0.401542837,-0.324232062
0.507248771,-0.363415804,-0.03881962,-0.105904077,-0.85936262,1.14247222,0.401542837,-0.26477515
0.466219077,-0.444326475,-0.03817798,-0.082921871,-0.85936262,1.29493586,0.266115657,-0.223744552
0.448571897,-0.525664289,-0.017812326,-0.05989967,-0.85936262,1.462011215,0.17583087,-0.184916613
0.602641583,-0.567131919,-0.001989483,-0.036837411,-0.795797455,1.351191526,0.130688476,-0.211035464
0.433963954,-0.545333718,0.024317758,-0.013735022,-0.795797455,1.258480372,0.17583087,-0.14611849
0.459086675,-0.622733479,0.038459504,0.009407568,-0.795797455,1.192245144,0.17583087,-0.183522713
0.44624345,-0.658287084,0.057105563,0.032590423,-0.654541533,1.151157505,-0.049881098,-0.188636164
0.516268441,-0.642743234,0.076346742,0.055813615,-0.654541533,1.017074878,-0.004738704,-0.130942125
0.609651435,-0.7393193,0.096547174,0.079077214,-0.654541533,0.99004264,-0.095023491,-0.088953686
0.692201021,-0.676414631,0.115294291,0.102381292,-0.547054605,0.864838304,-0.049881098,-0.07292011
0.529111666,-0.565711581,0.124229129,0.125725921,-0.547054605,0.764599904,-0.095023491,-0.002084652
0.227982147,-0.535089224,0.135674382,0.149111172,-0.547054605,0.78730653,-0.185308278,-0.014424766
-0.147829257,-0.377306644,0.15552512,0.172537109,-0.514491363,0.663578125,-0.275593065,0.026110141
-0.245869146,-0.397007328,0.164187261,0.196003811,-0.481787968,0.595106294,-0.230450672,0.093035972
-0.694842817,-0.18229314,0.190662932,0.219511341,-0.44894398,0.337942401,-0.320735459,0.05520687
-0.914991388,-0.106456098,0.207666392,0.24305978,-0.415958736,0.063396586,-0.275593065,0.022465131
-0.649646428,-0.308866475,0.248619066,0.266649182,-0.382831794,0.093278506,-0.365877852,0.131383127
-0.535527998,-0.325146539,0.258028717,0.290279643,-0.349562272,0.145446979,-0.411020246,0.091511626
-0.299349905,-0.338301165,0.2728891,0.31395121,-0.316149729,0.137193121,-0.411020246,0.121536379
-0.281408606,-0.378983963,0.280155673,0.337663971,-0.282593722,0.356879727,-0.320735459,0.156570227
-0.280403697,-0.326726622,0.29671961,0.361417989,-0.248893149,0.455085885,-0.456162639,0.115017847
-0.390698572,-0.171812501,0.314675906,0.385213344,-0.215047789,0.434445562,-0.501305033,0.18663225
-0.90413347,0.019884565,0.329154512,0.4090501,-0.181056758,0.221798009,-0.546447426,0.0694813
-1.121218294,0.092839257,0.348875318,0.432928335,-0.146919616,0.210444696,-0.59158982,0.034626348
-1.180753016,0.207164344,0.354120725,0.456848113,-0.112635701,0.171525539,-0.59158982,0.208964464
-1.004379256,0.185911358,0.386902114,0.480809514,-0.078204569,0.118369328,-0.546447426,0.214808408
-1.140483132,0.441058309,0.405123086,0.504812609,-0.04362512,-0.016076605,-0.59158982,0.188257224
-1.373327868,0.703015244,0.438528469,0.528857469,-0.008897131,-0.100329541,-0.681874607,0.071191995
-1.649065056,0.911541063,0.47021907,0.552944167,0.025980281,-0.259037503,-0.636732213,0.04210272
-1.050237414,0.480046425,0.489987999,0.577072773,0.061007777,-0.295265925,-0.59158982,0.147401795
-0.895971649,0.35376827,0.515557353,0.601243366,0.096185578,-0.269096538,-0.546447426,0.094347877
-0.946143562,0.229222998,0.541383364,0.625456011,0.131514787,-0.322616056,-0.681874607,0.162399263
-1.250778007,0.174763959,0.562846222,0.649710795,0.166996068,-0.410343105,-0.636732213,0.122822196
-1.261807494,0.016755653,0.578261624,0.674007773,0.202629861,-0.502566067,-0.681874607,0.239302286
-1.255042742,-0.104473181,0.607895768,0.698347033,0.238416828,-0.516610115,-0.636732213,0.254519647
-1.141071371,-0.158143914,0.629167738,0.722728646,0.274357632,-0.470754084,-0.59158982,0.293519028
-0.767931554,-0.300101355,0.650308173,0.747152675,0.310452934,-0.40038625,-0.636732213,0.26577893
-0.388026985,-0.247170308,0.674491585,0.771619209,0.346703618,-0.126771407,-0.727017,0.269334493
-0.109324091,-0.457741553,0.683257992,0.796128309,0.383109904,0.02393247,-0.727017,0.289016806
0.076436989,-0.551956176,0.705726621,0.820680057,0.419673116,-0.054677869,-0.727017,0.38336594
0.094696918,-0.606974321,0.729303683,0.845274523,0.456393256,-0.063885406,-0.772159394,0.462952406
0.038667122,-0.591256836,0.751520469,0.869911787,0.493271425,-0.119732353,-0.862444181,0.502428844
-0.181358899,-0.586832603,0.76837154,0.89459192,0.530308065,-0.247320884,-0.817301787,0.557327628
-0.351703206,-0.645007441,0.789659551,0.919314994,0.56750406,-0.30919644,-0.862444181,0.633831862
-0.616852085,-0.642427218,0.799138178,0.944081087,0.604860072,-0.487749993,-0.907586574,0.580953114
-0.510576846,-0.66291968,0.816800924,0.968890273,0.642376541,-0.373138299,-0.907586574,0.667945139
-0.501630706,-0.613603725,0.836056541,0.993742629,0.680054351,-0.454416666,-0.862444181,0.708297423
-0.358615018,-0.653477381,0.847686266,1.018638227,0.717894164,-0.518460705,-0.952728968,0.704831308
-0.290232196,-0.73224539,0.866149457,1.04357714,0.755896863,-0.526430731,-0.997871361,0.805184647
-0.300722464,-0.666420171,0.87469129,1.068559454,0.794062889,-0.701056038,-0.952728968,0.848790606
-0.1980747,-0.69417407,0.887668459,1.093585232,0.832392904,-0.812511512,-0.997871361,0.860292144
0.155628709,-0.781807907,0.894169877,1.118654554,0.870887791,-0.820004698,-1.043013755,1.066607964
0.297222819,-0.714975603,0.905730626,1.143767501,0.909548434,-0.67039074,-0.997871361,1.030988976
0.27001675,-0.681415333,0.924274022,1.168924142,0.948375052,-0.803235855,-1.043013755,0.929133655
0.361046786,-0.738822703,0.937403581,1.194124549,0.987368749,-0.896230842,-1.043013755,0.938242455
0.395850947,-0.740430567,0.957607221,1.21936881,1.026529967,-0.917631837,-1.133298542,1.073219671
0.336536814,-0.746292502,0.977674512,1.244656997,1.065859809,-1.016246714,-1.043013755,1.100452897
0.328374993,-0.698306595,0.989908983,1.269989188,1.105358496,-1.12599919,-1.133298542,1.17170578
0.291217876,-0.746018158,1.00265035,1.295365455,1.145027353,-1.158810265,-1.133298542,1.329197833
0.350115339,-0.784627748,1.013429902,1.320785878,1.184866599,-1.17829255,-1.178440935,1.319172189
0.321193572,-0.722917691,1.01766633,1.346250528,1.224877119,-1.115803915,-1.133298542,1.072984869
0.05805451,-0.549928114,1.016999025,1.371759492,1.265059793,-1.153678567,-1.133298542,1.066242717
-0.401948649,-0.290784074,1.052366222,1.397312834,1.305415065,-1.269119054,-1.088156148,0.835526195
-0.457120596,-0.357192707,1.080000054,1.732905826,1.345944038,-1.253042763,-1.043013755,1.050525937
-0.253614297,-0.511474796,1.089271752,1.732905826,1.386647373,-1.251192173,-1.133298542,1.121592469
-0.165329377,-0.552296502,1.102104552,1.732905826,1.427525513,-1.263317511,-1.133298542,1.226414487
-0.106971133,-0.631168692,1.11967426,1.788687405,1.46857956,-1.233583184,-1.178440935,1.376497254
-0.377340637,-0.533731394,1.147364235,1.788687405,1.509809957,-1.232425146,-1.178440935,1.132937473
-0.687048646,-0.481508781,1.186480214,1.788687405,1.551217806,-1.151407905,-1.223583329,1.335354845
-0.557807562,-0.556831861,1.215182376,1.884879107,1.59280377,-1.192177652,-1.223583329,1.401587453
-0.96557997,-0.453859064,1.238252543,1.884879107,1.634568512,-1.384150821,-1.178440935,1.342782766
-0.964011332,-0.575438641,1.267206549,1.884879107,1.676512692,-1.388124481,-1.268725722,1.364567111
-1.027957849,-0.521802635,1.308079018,1.973980198,1.718637415,-1.270106792,-1.223583329,1.489190707
-0.832809451,-0.538561934,1.339695829,1.973980198,1.760943122,-1.220129508,-1.223583329,1.608398964
-0.642685596,-0.65250155,1.359609127,1.973980198,1.803430917,-1.163306177,-1.223583329,1.731162784
-0.635700254,-0.694361596,1.388717127,1.780944904,1.846101241,-1.175738055,-1.268725722,1.827483503
-0.893447122,-0.583047349,1.401541906,1.780944904,1.888955198,-1.250000075,-1.268725722,1.630071499
-2.435050845,0.782488213,1.55028529,1.780944904,1.931993229,-0.967688594,-0.862444181,1.388438579
-2.149485159,0.88111665,1.887159131,0.424489064,1.975216438,-0.955154536,3.832364743,1.830837808
-2.119656522,0.585648064,2.165406324,0.424489064,2.018625486,-0.874954733,3.155228841,2.037694043
-1.73318328,0.161661424,2.265284008,0.424489064,2.062221257,-0.829382535,2.162096184,2.261806312
-1.284209609,0.034285893,2.328896199,1.451960471,2.161748414,-0.906800776,1.755814642,2.540970173
-0.781583609,-0.165658859,2.348023488,1.451960471,2.161748414,-0.867030121,0.943251559,2.990007198
-0.794426834,-0.118364021,2.434077039,1.451960471,2.161748414,-0.828110964,0.672397198,2.731859919
-0.677710346,-0.190537353,2.476465382,1.468203105,2.205959531,-0.722684099,0.266115657,2.595783237
-0.657367069,-0.373524863,2.557608783,1.484463611,2.250360903,-0.647082388,0.17583087,3.048752252
-0.157853836,-0.540454561,2.609164558,1.500741999,2.294952969,-0.540906205,0.17583087,3.279811659
-0.157853836,-0.540454561,2.609164558,1.517038292,2.339737056,-0.540906205,0.17583087,3.248374371
